theta	phi	gain
(deg)	(deg)	
-----------------------------------------
60	55	0.665694130000000
60	60	0.633233280000000
60	65	0.998275910000000
60	70	0.998394120000000
60	75	0.998251250000000
60	80	0.998188270000000
60	85	0.997874520000000
60	90	0.992980130000000
65	0	0.0336096730000000
65	5	0.0328653030000000
65	10	0.0317258090000000
65	15	0.0330463590000000
65	20	0.0303997740000000
65	25	0.0315829980000000
65	30	0.0345150240000000
65	35	0.0343665230000000
65	40	0.0324776880000000
65	45	0.0332932960000000
65	50	0.0319830180000000
65	55	0.0296032260000000
65	60	0.0334085620000000
65	65	0.0315245560000000
65	70	0.0263578720000000
65	75	0.0301021450000000
65	80	0.0293333100000000
65	85	0.0316708880000000
65	90	0.0528136550000000
70	0	0.0283101610000000
70	5	0.0244243880000000
70	10	0.0256190730000000
70	15	0.0268632290000000
70	20	0.0259056800000000
70	25	0.118550290000000
70	30	0.0362185240000000
70	35	0.0244553600000000
70	40	0.0233967780000000
70	45	0.0245801150000000
70	50	0.0254833100000000
70	55	0.197874610000000
70	60	0.0383854970000000
70	65	0.0175890770000000
70	70	0.0189863370000000
70	75	0.0225053800000000
70	80	0.0204922880000000
70	85	0.231913400000000
70	90	0.0362491080000000
75	0	0.0221522110000000
75	5	0.0197366280000000
75	10	0.0201398790000000
75	15	0.0172253650000000
75	20	0.240368890000000
75	25	0.0448002990000000
75	30	0.0271062210000000
75	35	0.0210912030000000
75	40	0.0183270130000000
75	45	0.0213950990000000
75	50	0.292735980000000
75	55	0.0961097490000000
75	60	0.0477639450000000
75	65	0.0313384090000000
75	70	0.0246300520000000
75	75	0.0227437950000000
75	80	0.162322930000000
75	85	0.305609530000000
75	90	0.507508130000000
80	0	0.0368442080000000
80	5	0.0393723200000000
80	10	0.0334420530000000
80	15	0.0732125960000000
80	20	0.0489253910000000
80	25	0.207670670000000
80	30	0.467904420000000
80	35	0.0655392780000000
80	40	0.0624815020000000
80	45	0.0477876720000000
80	50	0.0290944780000000
80	55	0.0444278450000000
80	60	0.164301070000000
80	65	0.388594500000000
80	70	0.0212373080000000
80	75	0.0433614910000000
80	80	0.0337519760000000
80	85	0.0397654220000000
80	90	0.0741090590000000
85	0	0.496045570000000
85	5	0.0908153150000000
85	10	0.0574050540000000
85	15	0.0556757090000000
85	20	0.0608878450000000
85	25	0.119450060000000
85	30	0.694738030000000
85	35	0.145787750000000
85	40	0.0999356930000000
85	45	0.101151230000000
85	50	0.108726480000000
85	55	0.235717320000000
85	60	0.653097720000000
85	65	0.428460650000000
85	70	0.196028970000000
85	75	0.198562330000000
85	80	0.188136950000000
85	85	0.775239080000000
85	90	0.479470710000000
90	0	0.555302160000000
90	5	0.389421060000000
90	10	0.398337550000000
